LC1,LU1,CLC3,Representativeness,Note
B18,U113,211,0,Patchy
B19,U111,211,1,-
B19,U112,990,0,U112 Fallow and abandoned land
B19,U210,211,1,U210 Energy production
B21,U111,211,1,-
B21,U112,990,0,U112 Fallow and abandoned land
B21,U113,211,0,Patchy
B21,U120,990,0,U120 Forestry (wood production)
B21,U312,990,0,U312 Roads
B21,U361,990,0,U361 Leisure (allotments)
B22,U111,211,1,-
B22,U112,990,0,U112 Fallow and abandoned land
B22,U113,211,0,Patchy
B23,U111,211,1,-
B23,U112,990,0,U112 Fallow and abandoned land
B23,U113,211,0,Patchy
B31,U111,211,1,-
B31,U112,990,0,U112 Fallow and abandoned land
B31,U113,211,0,Patchy
B32,U111,211,1,-
B32,U112,990,0,U112 Fallow and abandoned land
B32,U113,211,0,Patchy
B32,U150,990,0,U150 Hunting
B32,U361,990,0,U361 Leisure (allotments)
B33,U111,211,1,-
B33,U112,990,0,U112 Fallow and abandoned land
B33,U113,211,0,Patchy
B34,U111,211,1,-
B34,U113,990,0,U112 Fallow and abandoned land
B35,U111,211,1,-
B35,U112,990,0,U112 Fallow and abandoned land
B35,U113,211,0,Patchy
B36,U111,211,1,-
B37,U111,211,1,-
B37,U112,990,0,U112 Fallow and abandoned land
B37,U113,211,0,Patchy
B37,U210,211,1,U210 Energy production
B37,U361,990,0,U361 Leisure (allotments)
B41,U111,211,1,-
B41,U112,990,0,U112 Fallow and abandoned land
B41,U113,211,0,Patchy
B42,U111,211,1,-
B42,U112,990,0,U112 Fallow and abandoned land
B42,U113,211,0,Patchy
B42,U361,990,0,U361 Leisure (allotments)
B43,U111,211,1,-
B43,U112,990,0,U112 Fallow and abandoned land
B43,U113,211,0,Patchy
B43,U361,990,0,U361 Leisure (allotments)
B44,U111,211,1,-
B44,U113,211,0,Patchy
B44,U312,990,0,U312 Roads
B44,U340,990,0,"U340 Commerce, Finance, Business"
B44,U341,990,0,U341 Wooded areas connected to commercial areas
B44,U342,990,0,"U342 Financial, professional and information services"
B44,U350,990,0,U350 Community services
B44,U361,990,0,U361 Leisure (allotments)
B44,U363,990,0,U363 Holiday camps
B44,U370,990,0,U370 Ornamental plants in gardens of residential areas
B44,U410,990,0,U410 Abandoned areas
B45,U111,211,1,-
B45,U112,990,0,U112 Fallow and abandoned land
B45,U113,211,0,Patchy
B51,U111,211,1,agricultural rotation
B51,U112,990,0,agricultural rotation
B51,U113,211,0,agricultural rotation
B51,U361,990,0,U361 Leisure (allotments)
B52,U111,211,1,agricultural rotation
B52,U112,990,0,agricultural rotation
B52,U113,211,0,agricultural rotation
B52,U364,211,0,U364 Nature Reserve
B52,U410,990,0,U410 Abandoned areas
B53,U111,211,1,agricultural rotation
B53,U112,990,0,agricultural rotation
